Access,Start Time (UTCG),Stop Time (UTCG),Duration (sec),,
280,17 Sep 2019 01:09:22.398,17 Sep 2019 01:19:48.687,626.289,,
281,17 Sep 2019 02:47:14.605,17 Sep 2019 02:53:04.452,349.848,,
282,17 Sep 2019 16:16:31.025,17 Sep 2019 16:20:18.403,227.378,,
283,17 Sep 2019 17:48:45.419,17 Sep 2019 17:58:58.591,613.172,,
284,17 Sep 2019 19:24:50.140,17 Sep 2019 19:35:26.681,636.541,,
285,17 Sep 2019 21:02:04.234,17 Sep 2019 21:12:05.148,600.913,,
286,17 Sep 2019 22:39:00.718,17 Sep 2019 22:49:19.197,618.48,,
287,18 Sep 2019 00:15:25.876,18 Sep 2019 00:26:07.634,641.758,,
288,18 Sep 2019 01:52:26.441,18 Sep 2019 02:00:46.193,499.752,,
289,18 Sep 2019 16:55:28.874,18 Sep 2019 17:04:51.666,562.791,,
290,18 Sep 2019 18:30:49.732,18 Sep 2019 18:41:33.062,643.33,,
291,18 Sep 2019 20:07:52.713,18 Sep 2019 20:18:02.116,609.402,,
292,18 Sep 2019 21:45:00.846,18 Sep 2019 21:55:07.564,606.718,,
293,18 Sep 2019 23:21:31.924,18 Sep 2019 23:32:14.322,642.398,,
294,19 Sep 2019 00:58:08.795,19 Sep 2019 01:07:47.678,578.882,,
295,19 Sep 2019 16:02:38.336,19 Sep 2019 16:10:28.473,470.137,,
296,19 Sep 2019 17:36:59.279,19 Sep 2019 17:47:38.691,639.412,,
297,19 Sep 2019 19:13:41.315,19 Sep 2019 19:24:03.347,622.032,,
298,19 Sep 2019 20:50:56.547,19 Sep 2019 21:00:56.532,599.985,,
299,19 Sep 2019 22:27:38.062,19 Sep 2019 22:38:11.865,633.803,,
300,20 Sep 2019 00:04:04.546,20 Sep 2019 00:14:25.901,621.355,,
301,20 Sep 2019 01:42:13.016,20 Sep 2019 01:47:20.056,307.04,,
302,20 Sep 2019 15:10:38.938,20 Sep 2019 15:15:23.726,284.789,,
303,20 Sep 2019 16:43:21.964,20 Sep 2019 16:53:40.868,618.904,,
304,20 Sep 2019 18:19:33.114,20 Sep 2019 18:30:07.864,634.749,,
305,20 Sep 2019 19:56:48.077,20 Sep 2019 20:06:48.447,600.37,,
306,20 Sep 2019 21:33:42.303,20 Sep 2019 21:44:03.332,621.029,,
307,20 Sep 2019 23:10:07.144,20 Sep 2019 23:20:47.371,640.227,,
308,21 Sep 2019 00:47:14.289,21 Sep 2019 00:55:13.933,479.644,,
309,21 Sep 2019 15:50:01.812,21 Sep 2019 15:59:35.717,573.905,,
310,21 Sep 2019 17:25:31.271,21 Sep 2019 17:36:14.066,642.795,,
311,21 Sep 2019 19:02:36.821,21 Sep 2019 19:12:44.572,607.751,,
312,21 Sep 2019 20:39:43.113,21 Sep 2019 20:49:51.881,608.768,,
313,21 Sep 2019 22:16:12.865,21 Sep 2019 22:26:56.006,643.141,,
314,21 Sep 2019 23:52:52.937,22 Sep 2019 00:02:20.749,567.812,,
315,22 Sep 2019 14:57:05.747,22 Sep 2019 15:05:16.256,490.509,,
316,22 Sep 2019 16:31:38.839,22 Sep 2019 16:42:19.931,641.092,,
317,22 Sep 2019 18:08:25.202,22 Sep 2019 18:18:45.049,619.847,,
318,22 Sep 2019 19:45:39.595,22 Sep 2019 19:55:40.542,600.947,,
319,22 Sep 2019 21:22:19.084,22 Sep 2019 21:32:54.958,635.875,,
320,22 Sep 2019 22:58:46.831,22 Sep 2019 23:09:02.507,615.676,,
321,23 Sep 2019 00:37:16.280,23 Sep 2019 00:41:30.323,254.043,,
322,23 Sep 2019 14:04:52.913,23 Sep 2019 14:10:23.176,330.262,,
323,23 Sep 2019 15:37:58.943,23 Sep 2019 15:48:22.892,623.949,,
324,23 Sep 2019 17:14:16.222,23 Sep 2019 17:24:49.025,632.804,,
325,23 Sep 2019 18:51:31.786,23 Sep 2019 19:01:31.783,599.997,,
326,23 Sep 2019 20:28:23.744,23 Sep 2019 20:38:47.276,623.532,,
327,23 Sep 2019 22:04:48.456,23 Sep 2019 22:15:26.634,638.179,,
328,23 Sep 2019 23:42:03.081,23 Sep 2019 23:49:40.268,457.187,,
329,24 Sep 2019 14:44:35.368,24 Sep 2019 14:54:19.359,583.991,,
